chromosome	start	end	strand	ddb_g	genename	description
chr1	2364212	2365034	-	DDB_G0268622	rac1B	enriched in gametes
chr1	2365532	2366200	+	DDB_G0268910	rabT1	NA
chr1	2366931	2367002	+	DDB_G0294709	tRNA-Glu-UUC-2	transfers a glutamic acid residue to a growing polypeptide chain during protein synthesis%0A
chr1	2367538	2367990	-	DDB_G0269028	DDB_G0269028	NA
chr1	2368298	2368369	-	DDB_G0294801	tRNA-Glu-UUC-6	transfers a glutamic acid residue to a growing polypeptide chain during protein synthesis%0A
chr1	2369649	2369921	-	DDB_G0269030	DDB_G0269030_RTE	partial ORF1 protein of tRNA-specific non-long terminal repeat retrotransposon TRE3-B%3B refer to GenBank AF134170 for full-length consensus element
chr1	2370125	2370197	-	DDB_G0294799	tRNA-Gln-UUG-5	transfers a glutamine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2371018	2371090	+	DDB_G0294711	tRNA-Gln-UUG-2	transfers a glutamine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2371552	2385174	-	DDB_G0268914	DDB_G0268914	NA
chr1	2385345	2389186	-	DDB_G0269032	DDB_G0269032	contains two coiled-coil domains%3B central region predicted to have structural similarity to the beta-sandwich domain of the Sec23%2F24 superfamily 
chr1	2389897	2390193	+	DDB_G0268916	DDB_G0268916	NA
chr1	2390365	2390437	-	DDB_G0294797	tRNA-Asn-GUU-7	transfers an asparagine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2390879	2392213	+	DDB_G0269094	DDB_G0269094_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2393899	2394756	-	DDB_G0269096	DDB_G0269096	NA
chr1	2395862	2397880	+	DDB_G0306367	DDB_G0306367	similar to %3Ci%3EDictystelium%3C%2Fi%3E cfrA%2C B%2C C%2C and D (GP138A-D)
chr1	2398344	2398416	+	DDB_G0294713	tRNA-Lys-UUU-3	transfers a lysine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2398639	2402631	+	DDB_G0306370	DDB_G0306370_RTE	partial ORF1 and ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-B%3B refer to GenBank AF134170 for full-length consensus element
chr1	2402920	2403422	-	DDB_G0270840	DDB_G0270840_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2404459	2407381	+	DDB_G0270458	DDB_G0270458_RTE	partial ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-C
chr1	2404737	2404808	+	DDB_G0294715	tRNA-Thr-AGU-8	transfers a threonine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2408349	2408934	+	DDB_G0269256	DDB_G0269256	highly conserved protein containing an alkyl hydroperoxide reductase%2Fthiol specific antioxidant%2Fmal allergen domain%3B identical to %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0269270%22%3E%3Ci%3EDDB_G0269270%3C%2Fi%3E%3C%2Fa%3E
chr1	2410260	2410847	-	DDB_G0269258	DDB_G0269258_RTE	partial ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-C
chr1	2411033	2411674	-	DDB_G0270460	DDB_G0270460_RTE	partial ORF2 protein of tRNA-specific non-long terminal repeat retrotransposon TRE3-B%3B refer to GenBank AF134170 for full-length consensus element
chr1	2411874	2411960	-	DDB_G0294795	tRNA-Trp-CCA-3	transfers a tryptophan residue to a growing polypeptide chain during protein synthesis%0A
chr1	2414216	2414296	+	DDB_G0294717	tRNA-Ser-GCU-1	transfers a serine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2415581	2416221	+	DDB_G0269260	DDB_G0269260	highly conserved protein containing an alkyl hydroperoxide reductase%2Fthiol specific antioxidant%2Fmal allergen domain
chr1	2416810	2417466	+	DDB_G0269262	rabT2	NA
chr1	2419170	2419985	-	DDB_G0269264	DDB_G0269264_RTE	partial ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-C
chr1	2420227	2423526	-	DDB_G0269266	DDB_G0269266_RTE	partial ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-D%3B refer to Genbank AF135841 for partial consensus element
chr1	2423664	2424209	-	DDB_G0269268	DDB_G0269268_RTE	partial ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE3-D%3B refer to Genbank AF135841 for partial consensus element
chr1	2424793	2424873	-	DDB_G0294793	tRNA-Ser-GCU-2	transfers a serine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2425241	2425771	-	DDB_G0270462	DDB_G0270462_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2425838	2427457	+	DDB_G0270464	DDB_G0270464_RTE	ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2428475	2429089	-	DDB_G0269270	DDB_G0269270	highly conserved protein containing an alkyl hydroperoxide reductase%2Fthiol specific antioxidant%2Fmal allergen domain%3B identical to %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0269256%22%3E%3Ci%3EDDB_G0269256%3C%2Fi%3E%3C%2Fa%3E
chr1	2429715	2431239	-	DDB_G0270466	DDB_G0270466	NA
chr1	2431765	2433276	-	DDB_G0269136	efaAII	elongation factor 1 alpha%2C one of two genes coding for the same protein%3B binds and bundles F-actin
chr1	2434615	2438410	+	DDB_G0269272	DDB_G0269272	NA
chr1	2438501	2440838	-	DDB_G0269274	dhak	catalyzes the reaction ATP %2B glycerone %3D ADP %2B glycerone phosphate
chr1	2442246	2442509	+	DDB_G0269276	DDB_G0269276	NA
chr1	2442606	2443928	-	DDB_G0269278	DDB_G0269278	NA
chr1	2444312	2445271	-	DDB_G0269280	DDB_G0269280	NA
chr1	2445906	2446880	-	DDB_G0269282	DDB_G0269282	NA
chr1	2447181	2448908	-	DDB_G0270468	DDB_G0270468	NA
chr1	2449936	2451468	-	DDB_G0269284	DDB_G0269284	similar to D. purpureum protein
chr1	2451692	2455913	-	DDB_G0269286	DDB_G0269286	NA
chr1	2456628	2467773	-	DDB_G0269288	DDB_G0269288	NA
chr1	2468482	2469686	+	DDB_G0269290	nap1	NAP proteins act as histone chaperones%2C shuttling both core and linker histones from their site of synthesis in the cytoplasm to the nucleus
chr1	2470067	2471311	+	DDB_G0269292	sugt1	ortholog of S. cerevisiae SGT1 and mammalian SUGT1%2C associated with the SCF (Skp1p%2FCdc53p%2FF box protein) ubiquitin ligase complex
chr1	2471481	2474033	-	DDB_G0269294	DDB_G0269294	NA
chr1	2474747	2476080	+	DDB_G0269296	DDB_G0269296	NA
chr1	2476607	2480100	-	DDB_G0269298	gefX	member of the TKL (tyrosine kinase-like) group and the LISK (LIM domain and testis-specific kinase) family%3B contains RasGEF nucleotide exchange factor domain
chr1	2481510	2482781	+	DDB_G0269300	DDB_G0269300	has similarity to human CD2BP2%2C a CD2 antigen cytoplasmic tail-binding protein and yeast LIN1%2C a non-essential component of the U5 snRNP
chr1	2482897	2483850	-	DDB_G0269302	DDB_G0269302	NA
chr1	2484101	2485936	+	DDB_G0269304	DDB_G0269304	similar to S. cerevisiae SHQ1%2C which is required for box H%2FACA small nucleolar ribonucleoprotein particle biogenesis%3B contains one CS domain
chr1	2485989	2488139	-	DDB_G0269306	dhx35	DEAD%2FDEAH box helicases are involved in various aspects of RNA metabolism
chr1	2488609	2490162	-	DDB_G0270470	DDB_G0270470	similar to D. purpureum protein
chr1	2491060	2493733	+	DDB_G0269308	DDB_G0269308_ps	member of a Dictyostelium protein family that includes DG1041
chr1	2493841	2496701	-	DDB_G0270472	DDB_G0270472	NA
chr1	2497222	2499823	-	DDB_G0269312	DDB_G0269312	ortholog of S. cerevisiae ESF1%2C a nucleolar protein involved in pre-rRNA processing
chr1	2500071	2500579	-	DDB_G0270474	DDB_G0270474	NA
chr1	2501983	2503317	-	DDB_G0270842	DDB_G0270842_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2503577	2503649	+	DDB_G0294719	tRNA-Lys-UUU-4	transfers a lysine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2504768	2505723	-	DDB_G0270476	DDB_G0270476_ps	putative pseudogene%3B similar to a family of D. discoideum genes%2C including %3Ca href%3D%22%2Fgene%2FDDB_G0270958%22%3EDDB_G0270958%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0270850%22%3EDDB_G0270850%3C%2Fa%3E
chr1	2506114	2516856	+	DDB_G0295757	DDB_G0295757	NA
chr1	2517195	2519734	-	DDB_G0270848	DDB_G0270848_ps	putative pseudogene%3B similar to a family of D. discoideum genes%2C including %3Ca href%3D%22%2Fgene%2FDDB_G0270958%22%3EDDB_G0270958%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0270644%22%3EDDB_G0270644%3C%2Fa%3E
chr1	2519831	2525629	+	DDB_G0270478	DDB_G0270478_ps	putative pseudogene%3B IPT%2FTIG family protein
chr1	2525862	2528497	-	DDB_G0270850	DDB_G0270850	NA
chr1	2529046	2539393	+	DDB_G0270480	DDB_G0270480	NA
chr1	2540112	2540788	-	DDB_G0269318	DDB_G0269318	NA
chr1	2541259	2541679	-	DDB_G0269320	DDB_G0269320_ps	putative pseudogene%3B similar to a family of D. discoideum genes%2C including %3Ca href%3D%22%2Fgene%2FDDB_G0292008%22%3EDDB_G0292008%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0283487%22%3EDDB_G0283487%3C%2Fa%3E
chr1	2542013	2542876	-	DDB_G0269322	DDB_G0269322	NA
chr1	2543534	2544345	-	DDB_G0269324	gins4	subunit 4 of the conserved replication complex GINS%2C which is essential for initiation of DNA replication in X. laevis
chr1	2544681	2547056	-	DDB_G0269326	zntD	ZIP family zinc transporter%2C LZT subfamily member%3B contains 8 transmembrane domains%3B expressed in pstAB cells
chr1	2548313	2551945	+	DDB_G0269328	DDB_G0269328	NA
chr1	2552986	2554021	+	DDB_G0269330	DDB_G0269330	NA
chr1	2554441	2556496	+	DDB_G0269332	DDB_G0269332	belongs to a family of zinc transporters that are integral membrane proteins%2C which are found to increase tolerance to divalent metal ions%3B contains 6 putative transmembrane domains
chr1	2556676	2557732	-	DDB_G0269334	DDB_G0269334	contains a C-terminal C2 domain and an N-terminal XYPPX repeat
chr1	2558667	2558748	+	DDB_G0294721	tRNA-Ser-AGA-1	transfers a serine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2559165	2560492	+	DDB_G0270852	DDB_G0270852_RTE	partial ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-C
chr1	2560506	2560578	-	DDB_G0294791	tRNA-Lys-CUU-3	transfers a lysine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2560862	2561113	+	DDB_G0269336	DDB_G0269336	NA
chr1	2561561	2563899	+	DDB_G0270482	gfm1	involved in the translocation of the nascent peptide from the ribosomal A-site to the P-site
chr1	2564023	2565400	-	DDB_G0269338	bzpE	NA
chr1	2565964	2566797	+	DDB_G0269340	DDB_G0269340	NA
chr1	2567416	2567916	+	DDB_G0269342	DDB_G0269342	NA
chr1	2568156	2569534	-	DDB_G0269344	DDB_G0269344	ortholog of the H. sapiens angio-associated migratory cell protein AAMP
chr1	2569786	2570613	+	DDB_G0269346	DDB_G0269346	NA
chr1	2570683	2572593	-	DDB_G0269348	DDB_G0269348	NA
chr1	2573853	2575961	-	DDB_G0269350	DDB_G0269350	NA
chr1	2576335	2577600	-	DDB_G0269352	mcfD	belongs to the substrate carrier protein family involved in transport of molecules across the mitochondrial membrane %3Cbr%2F%3E%3Cbr%2F%3E %3Cb%3ECommunity annotation:%3C%2Fb%3E Overview of the %3Ca href%3D%22http:%2F%2Fwiki.dictybase.org%2Fdictywiki%2Findex.php%2FMitochondrial_Carrier_Family_%2528MCF%2529%22%3EMitochondrial Carrier Family (MCF)%3C%2Fa%3E%2C %3Ci%3EGerard Klein and Michel Satre%2C April 2007%3C%2Fi%3E 
chr1	2578522	2581449	+	DDB_G0269354	DDB_G0269354	conserved hypothetical %3Ci%3EDictyostelium%3C%2Fi%3E protein%2C contains one EGF-like%2C type 3 domain
chr1	2581654	2582858	-	DDB_G0270854	nif3	ortholog of human NIF3L1%3B belongs to the UPF0135 (NIF3) family
chr1	2583576	2584480	+	DDB_G0269356	DDB_G0269356	NA
chr1	2584566	2585608	-	DDB_G0269358	DDB_G0269358	NA
chr1	2585971	2587983	-	DDB_G0269360	DDB_G0269360	NA
chr1	2591243	2593999	+	DDB_G0270856	DDB_G0270856	NA
chr1	2594752	2606541	+	DDB_G0270488	DDB_G0270488	NA
chr1	2607006	2607609	+	DDB_G0270490	DDB_G0270490	NA
chr1	2607973	2609167	+	DDB_G0270492	DDB_G0270492	NA
chr1	2609297	2610806	-	DDB_G0269362	frmB	Band 4.1 contains the FERM domain%3B found in a number of cytoskeletal-associated proteins and involved in the linkage of cytoplasmic proteins to the membrane
chr1	2611408	2612236	-	DDB_G0270494	DDB_G0270494	NA
chr1	2612482	2622117	-	DDB_G0269364	stlA	belongs to the beta-ketoacyl synthase family%3B type III polyketide synthase%3B catalyzes iterative polyketide extension%3B from hexanoyl-CoA%2C can catalyze three polyketide chain extensions followed by aldol cyclization to synthesize demethyl-4-methyl-5-pentylbenzene-1%2C3-diol (MPBD)%3B starter unit can vary from acyl CoA substrates ranging from 3-20 carbons %3Cbr%2F%3E %3Cb%3ENomenclature conflict:%3C%2Fb%3E Do not confuse the stlA gene encoding a polyketide synthase with the stlA locus associated with deficient stalk formation (%3Ca href%3D%22%2Fdb%2Fcgi-bin%2FdictyBase%2Freference%2Freference.pl?refNo%3D4308%22%3E Morrissey and Loomis 1981%3C%2Fa%3E) 
chr1	2627248	2628493	+	DDB_G0269236	rab7A	rab family small GTPase involved in vesicle fusion during endocytosis%3B there is another rab7 homolog%2C %3Ci%3Erab7B%3C%2Fi%3E
chr1	2629488	2630345	+	DDB_G0269368	DDB_G0269368	similar to human SYS1 which is involved in protein trafficking%3B contains 4 putative transmembrane domains
chr1	2630812	2631796	+	DDB_G0269370	DDB_G0269370	very similar to the human 25 kDa cleavage and polyadenylation specificity factor%2C component of the cleavage factor Im (CFIm) complex that plays a key role in pre-mRNA 3%27 processing
chr1	2632261	2632988	+	DDB_G0269372	DDB_G0269372	NA
chr1	2633520	2636041	-	DDB_G0269374	DDB_G0269374	NA
chr1	2636802	2638688	+	DDB_G0270496	DDB_G0270496	putative ortholog of H. sapiens AATF%2C apoptosis-antagonizing transcription factor%3Cbr%3E%3Cbr%3E %3Cb%3ECommunity annotation:%3C%2Fb%3E DDB_G0270496 shows extensive similarities with the %22apoptosis antagonizing transcription factor%22 AATF%2C which is widely conserved in animals. Under the alternate name Che-1%2C the gene product has been described as a RNA polymerase II cofactor which associates with the promoters of E2F-activated genes and promotes their transcription under normal conditions. After DNA damage by doxorubicin or ionizing radiation%2C AATF%2FChe-1 is phosphorylated by ATM and Chk2%2C which causes it to dissociate from these promoters and re-associate with those of p53-target genes%2C as well as p53 itself (see Floridi and Fanciulli%2C Cell Cycle 6%2C 804-806 (2007). AATF%2FChe1 has also been reported to associate with Rb%2C and to block the Rb-mediated repression of these promoters by HDAC (Fanciulli et al%2C FASEB Journal 14%2C 904-912 (2000).%3Cbr%3E DDB_G0270496 is threefold (p%3C0.004) overexpressed in a Dicty strain in which the retinoblastoma-like gene rblA has been disrupted (Doquang et al%2C in preparation). Most of the classic E2F target genes are overexpressed in this strain%2C and it seems possible that AATF%2FChe1 upregulation contributes to this effect. %3Ci%3EHarry MacWilliams%2C September 2009%3C%2Fi%3E
chr1	2640023	2641648	+	DDB_G0269146	ifdA	similar to eukaryotic translation initiation factor 4A%2C isoform 2 
chr1	2642577	2643428	-	DDB_G0269376	DDB_G0269376	NA
chr1	2644089	2645514	+	DDB_G0269378	rad1	similar to Rad1%2C a component of a heterotrimeric clamp (the 9-1-1 complex) that recognizes damaged DNA and initiates signal transduction for repair
chr1	2645714	2650717	-	DDB_G0269380	DDB_G0269380	P-type ATPase (E1-E2)%3B highly similar to human ATP8A1 believed to be involved in the transport of aminophospholipids
chr1	2653185	2654791	-	DDB_G0269382	pepD	NA
chr1	2655370	2657301	+	DDB_G0269384	DDB_G0269384	NA
chr1	2657392	2667176	-	DDB_G0269250	pats1	member of the TKL (tyrosine kinase-like) group and the ROCO family of protein kinases%3B contains LRR%2C Roc%2C COR%2C WD40%2C and protein kinase domains
chr1	2668447	2670641	-	DDB_G0269386	grlK	metabotropic glutamate receptors are coupled to G-proteins and stimulate the inositol phosphate%2FCa2%2B intracellular signaling pathway%3B distinctive %277TM%27 signature
chr1	2676041	2677561	+	DDB_G0270858	DDB_G0270858	NA
chr1	2678066	2680954	+	DDB_G0269388	corB	ortholog of human coronin-7 (CORO7)%3B long protein corresponding to two coronin equivalents%3B regulates F-actin depolymerization and is thus involved in substrate adhesion%2C phagocytosis and cell motility
chr1	2681142	2681466	-	DDB_G0269390	DDB_G0269390	weakly similar to hssA%2F2C%2F7E family protein%3B has a similar gene structure with a N terminal 13 nt exon
chr1	2682747	2684635	-	DDB_G0270500	d2hgdh	mitochondrial enzyme%2C catalyzes the oxidation of D-2-hydroxyglutarate to alpha-ketoglutarate%3B ortholog of the H. sapiens D2HGDH%2C which when defect causes  D-2-hydroxyglutaric aciduria%2C a rare recessive neurometabolic disorder
chr1	2685505	2686101	-	DDB_G0270502	DDB_G0270502_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2686145	2686834	-	DDB_G0270504	DDB_G0270504_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2687279	2687350	+	DDB_G0294723	tRNA-Glu-UUC-3	transfers a glutamic acid residue to a growing polypeptide chain during protein synthesis%0A
chr1	2687898	2689235	-	DDB_G0270506	DDB_G0270506	NA
chr1	2689530	2690085	-	DDB_G0269392	DDB_G0269392	highly conserved protein containing an alkyl hydroperoxide reductase%2Fthiol specific antioxidant%2Fmal allergen domain
chr1	2691885	2695028	-	DDB_G0270860	DDB_G0270860_RTE	ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2695319	2696653	-	DDB_G0270862	DDB_G0270862_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	2697090	2697162	+	DDB_G0294725	tRNA-Lys-CUU-2	transfers a lysine residue to a growing polypeptide chain during protein synthesis%0A
chr1	2698672	2698743	-	DDB_G0294789	tRNA-Glu-UUC-5	transfers a glutamic acid residue to a growing polypeptide chain during protein synthesis%0A
chr1	2699017	2700122	+	DDB_G0269394	mcfE	belongs to the substrate carrier protein family involved in transport of molecules across the mitochondrial membrane %3Cbr%2F%3E%3Cbr%2F%3E %3Cb%3ECommunity annotation:%3C%2Fb%3E Overview of the %3Ca href%3D%22http:%2F%2Fwiki.dictybase.org%2Fdictywiki%2Findex.php%2FMitochondrial_Carrier_Family_%2528MCF%2529%22%3EMitochondrial Carrier Family (MCF)%3C%2Fa%3E%2C %3Ci%3EGerard Klein and Michel Satre%2C April 2007%3C%2Fi%3E 
chr1	2700289	2705516	-	DDB_G0269204	dhkE	NA
chr1	2708681	2709448	-	DDB_G0269398	DDB_G0269398	NA
chr1	2710210	2711100	+	DDB_G0269400	DDB_G0269400	similar to D. purpureum protein
chr1	2711495	2713021	-	DDB_G0269402	DDB_G0269402	the SWIM domain is found in variety of prokaryotic and eukaryotic proteins%3B it is predicted to have DNA-binding and protein-protein interaction functions in different contexts
chr1	2713558	2714296	-	DDB_G0269404	DDB_G0269404	similar to human DUSP19%3B predicted to have dual specificity toward Ser%2FThr and Tyr-containing proteins
chr1	2715190	2716197	-	DDB_G0269406	rad52	similar to the RAD52 DNA repair protein that  is involved in double-stranded break repair
chr1	2716911	2717087	-	DDB_G0269408	DDB_G0269408	NA
chr1	2717192	2717475	-	DDB_G0270508	DDB_G0270508	NA
chr1	2718039	2718873	+	DDB_G0270510	spc2	ortholog of the conserved microsomal signal peptidase 25 kDa subunit%3B the signal peptidase complex is a membrane-bound endoproteinase that removes signal peptides from nascent proteins as they are translocated into the lumen of the endoplasmic reticulum%3B contains two putative transmembrane domains
chr1	2719928	2720827	+	DDB_G0269410	DDB_G0269410	catalyzes the reaction L-proline %2B NAD(P)%3Csup%3E%2B%3C%2Fsup%3E %3C%3D%3E 1-pyrroline-5-carboxylate %2B NAD(P)H %2B H%3Csup%3E%2B%3C%2Fsup%3E
chr1	2724169	2725668	+	DDB_G0269412	paf1	component of the conserved Paf1 complex%2C a multifunctional complex%2C involved in histone methylation and plays a role in RNA elongation and processing
chr1	2725897	2726556	-	DDB_G0269414	ebp	similar to mammalian EBP (and EBPL)%3B EBP catalyzes the conversion of Delta(8)-sterols to their corresponding Delta(7)-isomers%3B defects in hEBP cause chondrodysplasia punctata X-linked dominant type 2%2C a rare disorder of defective cholesterol biosynthesis
chr1	2727197	2728127	+	DDB_G0269416	rab32B	similar to H. sapiens rab32 and rab38
chr1	2728317	2728894	-	DDB_G0269418	DDB_G0269418	similar to E. coli OsmC%2C a stress-inducible protein%2C and down-regulated by hyperosmotic shock%3B there is another member of this gene family in Dictyostelium%2C %3Ci%3E%3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0268884%22%3E%3Ci%3EDDB_G0268884%3C%2Fi%3E%3C%2Fa%3E%3C%2Fi%3E
chr1	2730080	2730479	+	DDB_G0269420	DDB_G0269420	NA
chr1	2730908	2731372	-	DDB_G0269422	DDB_G0269422	NA
chr1	2731859	2732599	+	DDB_G0270512	DDB_G0270512_ps	putative pseudogene%3B similar to D. discoideum genes %3Ca href%3D%22%2Fgene%2FDDB_G0270090%22%3EDDB_G0270090%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0288013%22%3EDDB_G0288013%3C%2Fa%3E
chr1	2732721	2736502	-	DDB_G0269424	gxcB	NA
chr1	2738058	2740498	+	DDB_G0269426	DDB_G0269426	contains a double-stranded RNA-binding motif in the amino terminus
chr1	2741124	2742151	+	DDB_G0270514	DDB_G0270514_ps	putative pseudogene%3B similar to gene %3Ca href%3D%22%2Fgene%2FDDB_G0269428%22%3EDDB_G0269428%3C%2Fa%3E
chr1	2743300	2744337	+	DDB_G0269428	DDB_G0269428	belongs to a gene family conserved in amoeba
chr1	2744495	2747528	-	DDB_G0270864	DDB_G0270864	NA
chr1	2747913	2749221	-	DDB_G0270866	magoh	conserved protein that is part of a post-splicing multiprotein complex involved in mRNA nuclear export%3B the human ortholog interacts with %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0286007%22%3E%3Ci%3Erbm8A%3C%2Fi%3E%3C%2Fa%3E
chr1	2750055	2752238	+	DDB_G0347686	DDB_G0347686	NA
chr1	2752444	2753176	-	DDB_G0347687	DDB_G0347687	NA
chr1	2753471	2756444	+	DDB_G0269430	DDB_G0269430	Sel1-like repeats are tetratricopeptide repeat sequences originally identified in a C. elegans receptor molecule which is a key negative regulator of the Notch pathway%3B Dictyostelium%2C like mammals%2C has two sel1-like proteins%2C which are located next to each other
chr1	2756997	2760268	+	DDB_G0269432	DDB_G0269432	Sel1-like repeats are tetratricopeptide repeat sequences originally identified in a C. elegans receptor molecule which is a key negative regulator of the Notch pathway%3B Dictyostelium%2C like mammals%2C has two sel1-like proteins%2C which are located next to each other
chr1	2760643	2760996	-	DDB_G0269434	DDB_G0269434	NA
chr1	2762300	2763013	+	DDB_G0269436	DDB_G0269436	conserved %3Ci%3EDictyostelium%3C%2Fi%3E protein%2C contains a putative signal sequence
chr1	2764361	2765065	+	DDB_G0270518	DDB_G0270518	conserved %3Ci%3EDictyostelium%3C%2Fi%3E protein%2C contains a putative signal sequence
chr1	2765942	2767289	+	DDB_G0270520	DDB_G0270520	NA
chr1	2767401	2768924	-	DDB_G0269438	zpr1	ortholog of ZPR1%2C a eukaryotic zinc finger protein 
chr1	2769350	2770838	-	DDB_G0270522	DDB_G0270522	NA
chr1	2771493	2773012	-	DDB_G0270524	DDB_G0270524	NA
chr1	2774064	2776697	-	DDB_G0270868	DDB_G0270868	NA
chr1	2777615	2781943	+	DDB_G0270870	atp9b	P-type ATPase (E1-E2)%3B ortholog of human ATP9B and yeast NEO1%2C which is involved in transport from the Golgi to the ER
chr1	2782084	2784323	-	DDB_G0269440	DDB_G0269440	NA
chr1	2784673	2787444	-	DDB_G0269442	DDB_G0269442	NA
chr1	2788108	2789424	+	DDB_G0269444	hemB	catalyzes the conversion of delta-aminolevulinic acid to porphobilinogen%2C the second step in heme biosynthesis
chr1	2789495	2790655	-	DDB_G0269446	DDB_G0269446	NA
chr1	2791078	2795119	-	DDB_G0269448	DDB_G0269448	NA
chr1	2795744	2797105	-	DDB_G0269134	efaAI	elongation factor 1 alpha%2C one of two genes coding for the same protein%3B binds and bundles F-actin%3B expressed in prespore cells
chr1	2798117	2798819	-	DDB_G0269450	DDB_G0269450	NA
chr1	2799520	2802510	-	DDB_G0269452	DDB_G0269452	NA
chr1	2803384	2804805	-	DDB_G0270528	gpt2	contains a catalytic domain similar to the lysosomal enzyme GlcNAc-alpha-1-phosphotransferase
chr1	2805074	2806555	-	DDB_G0294553	DDB_G0294553	NA
chr1	2807320	2808805	-	DDB_G0269454	trpS	catalyzes the reaction ATP %2B L-tryptophan %2B tRNATrp %3C%3D%3E AMP %2B diphosphate %2B L-tryptophan-tRNAThr
chr1	2809230	2809981	-	DDB_G0270530	DDB_G0270530	NA
chr1	2810443	2810655	+	DDB_G0269456	DDB_G0269456	NA
chr1	2811310	2812227	+	DDB_G0269458	ubqJ	NA
chr1	2814532	2815989	-	DDB_G0270532	DDB_G0270532	NA
chr1	2817548	2817634	+	DDB_G0294727	tRNA-Trp-CCA-1	transfers a tryptophan residue to a growing polypeptide chain during protein synthesis%0A
chr1	2818161	2825118	-	DDB_G0269460	DDB_G0269460	NA
chr1	2825931	2833171	+	DDB_G0269462	DDB_G0269462	large protein containing two ubiquitin domains%3B has no ortholog in other organisms
chr1	2833557	2833931	-	DDB_G0269464	DDB_G0269464	NA
chr1	2834458	2835595	+	DDB_G0269466	DDB_G0269466	NA
chr1	2836013	2836591	+	DDB_G0269468	DDB_G0269468	NA
chr1	2836764	2838030	-	DDB_G0269470	mcfF	ortholog of H. sapiens SLC25A28 and D. reiro SLC25A37%2C involved in iron transport across the mitochondrial membrane%3Cbr%2F%3E%3Cbr%2F%3E %3Cb%3ECommunity annotation:%3C%2Fb%3E Overview of the %3Ca href%3D%22http:%2F%2Fwiki.dictybase.org%2Fdictywiki%2Findex.php%2FMitochondrial_Carrier_Family_%2528MCF%2529%22%3EMitochondrial Carrier Family (MCF)%3C%2Fa%3E%2C %3Ci%3EGerard Klein and Michel Satre%2C April 2007%3C%2Fi%3E 
chr1	2839118	2839714	+	DDB_G0269472	psmB2	subunit of the 20S proteasome (macropain)%2C the endopeptidase complex involved in an ATP%2Fubiquitin-dependent nonlysosomal proteolytic pathway%3B in eukaryotes composed of up to 28 subunits%2C which form a highly ordered ring-shaped structure (20S ring)
chr1	2840597	2843560	+	DDB_G0269474	fcsB	catalyzes the reaction ATP %2B a long-chain carboxylic acid %2B CoA %3D AMP %2B diphosphate %2B an acyl-CoA
chr1	2844541	2845608	+	DDB_G0269476	act31	actin related protein of unknown function
chr1	2845861	2846125	-	DDB_G0269478	DDB_G0269478	NA
